win,running,truecount,bet,dealcard,playhand,numhit,aceplay,acedeal,dealhandfinal,playerhandfinal,dealnumcard,dealbust,playbust,bjplay,bjdeal,split,ddown
0,0,0,-5,3,16,0,0,0,18,16,3,0,0,0,0,0,0
0,0,0,0,11,17,0,0,2,17,17,5,0,0,0,0,0,0
0,0,0,0,10,12,1,0,0,20,20,2,0,0,0,0,0,0
0,0,0,-5,3,13,0,0,0,18,13,3,0,0,0,0,0,0
0,0,0,-10,6,10,1,0,0,17,16,3,0,0,0,0,0,1
0,0,0,-5,11,15,1,0,1,21,20,4,0,0,0,0,0,0
0,0,0,-5,6,12,0,0,0,20,12,3,0,0,0,0,0,0
1,0,0,5,10,20,0,0,0,18,20,2,0,0,0,0,0,0
0,0,0,-5,21,14,1,0,1,21,23,2,0,1,0,1,0,0
1,0,0,5,3,20,0,0,0,23,20,5,1,0,0,0,0,0
1,0,0,5,4,13,0,0,1,25,13,6,1,0,0,0,0,0
1,0,0,5,9,20,0,0,0,19,20,2,0,0,0,0,0,0
0,0,0,-5,5,12,0,0,0,20,12,3,0,0,0,0,0,0
0,0,0,-5,21,18,0,0,1,21,18,2,0,0,0,1,0,0
1,0,0,5,7,20,0,0,0,17,20,2,0,0,0,0,0,0
1,0,0,5,7,19,0,1,1,23,19,4,1,0,0,0,0,0
0,0,0,-10,5,15,1,1,0,19,17,3,0,0,0,0,0,1
0,0,0,-5,5,6,1,0,0,18,16,3,0,0,0,0,0,0
1,0,0,5,9,12,1,0,0,26,19,4,1,0,0,0,0,0
0,0,0,-5,21,19,0,0,1,21,19,2,0,0,0,1,0,0
0,0,0,-5,7,16,1,0,0,21,23,3,0,1,0,0,0,0
0,0,0,-5,6,13,0,0,0,21,13,3,0,0,0,0,0,0
0,0,0,0,10,13,1,0,0,20,20,2,0,0,0,0,0,0
0,0,0,-5,9,18,0,0,0,21,18,4,0,0,0,0,0,0
0,0,0,-10,4,11,1,0,1,18,16,3,0,0,0,0,0,1
0,0,0,0,10,5,2,0,0,20,20,2,0,0,0,0,0,0
0,0,0,-5,2,20,0,0,1,21,20,4,0,0,0,0,0,0
0,0,0,-15,7,12,2,2,1,21,23,3,1,0,0,0,1,1
0,0,0,-5,3,13,0,0,0,21,13,4,0,0,0,0,0,0
0,0,0,-5,2,19,0,0,0,20,19,3,0,0,0,0,0,0
0,0,0,-5,10,18,0,0,0,20,18,2,0,0,0,0,0,0
0,0,0,-5,21,13,2,0,1,21,25,2,0,1,0,1,0,0
1,0,0,5,4,14,0,0,0,24,14,3,1,0,0,0,0,0
0,0,0,-5,8,16,1,0,0,23,26,3,1,1,0,0,0,0
1,0,0,5,4,14,0,0,0,26,14,4,1,0,0,0,0,0
0,0,0,-5,2,13,0,0,0,18,13,3,0,0,0,0,0,0
0,0,0,-5,10,19,0,0,0,20,19,2,0,0,0,0,0,0
0,0,0,-10,7,11,1,0,0,17,13,2,0,0,0,0,0,1
0,0,0,-5,2,14,0,0,1,18,14,3,0,0,0,0,0,0
1,0,0,10,2,11,1,0,0,22,21,3,1,0,0,0,0,1
1,0,0,5,11,18,0,0,1,22,18,4,1,0,0,0,0,0
1,0,0,6,6,21,0,1,0,14,21,2,0,0,1,0,0,0
0,0,0,0,10,20,0,0,0,20,20,2,0,0,0,0,0,0
1,0,0,10,2,9,1,0,0,22,19,3,0,0,0,0,0,1
1,0,0,6,3,21,0,1,0,13,21,2,0,0,1,0,0,0
0,0,0,-5,2,14,0,0,1,18,14,5,0,0,0,0,0,0
0,0,0,-5,10,20,0,0,0,21,20,3,0,0,0,0,0,0
1,0,0,5,7,16,1,0,0,24,19,3,1,0,0,0,0,0
0,0,0,-5,9,14,1,0,0,24,24,3,1,1,0,0,0,0
0,0,0,-10,8,11,1,0,0,18,17,2,0,0,0,0,0,1
1,0,0,5,10,8,1,0,0,25,18,3,1,0,0,0,0,0
