win,running,truecount,bet,dealcard,playhand,numhit,aceplay,acedeal,dealhandfinal,playerhandfinal,dealnumcard,dealbust,playbust,bjplay,bjdeal,split,ddown
0,3,3,-4,3,16,0,0,1,20,16,6,0,0,0,0,0,0
0,3,3,-11,21,17,0,0,1,21,17,2,0,0,0,1,0,0
1,2,2,8,5,19,0,1,0,22,19,3,1,0,0,0,0,0
0,-2,-1,-5,10,17,0,0,0,19,17,2,0,0,0,0,0,0
1,-1,-1,8,5,11,1,0,0,17,21,3,0,0,0,0,0,1
1,-4,-2,4,10,20,0,0,0,17,20,2,0,0,0,0,0,0
1,-1,-1,6,4,10,1,0,1,22,20,5,0,0,0,0,0,1
1,1,0,4,4,13,0,0,0,26,13,4,1,0,0,0,0,0
0,1,0,0,9,18,1,1,0,21,21,3,0,0,0,0,0,0
0,3,1,-5,6,14,0,0,1,19,14,3,0,0,0,0,0,0
0,5,2,-6,8,16,1,0,0,17,22,3,0,1,0,0,0,0
1,5,2,7,10,19,0,1,0,17,19,3,0,0,0,0,0,0
0,6,6,-7,5,13,0,0,0,19,13,3,0,0,0,0,0,0
1,4,4,12,8,21,0,1,0,11,21,2,0,0,1,0,0,0
1,6,6,13,5,18,0,0,1,23,18,4,1,0,0,0,0,0
0,3,3,0,10,13,1,0,0,20,20,2,0,0,0,0,0,0
0,0,0,-8,21,19,0,0,1,21,19,2,0,0,0,1,0,0
0,-1,-1,-5,3,17,0,0,0,20,17,3,0,0,0,0,0,0
1,-1,-1,8,5,10,1,0,1,26,18,4,1,0,0,0,0,1
1,1,0,5,9,20,0,0,0,19,20,4,0,0,0,0,0,0
1,3,1,5,10,16,1,0,0,18,21,3,0,0,0,0,0,0
1,3,1,6,10,12,1,0,0,17,18,2,0,0,0,0,0,0
1,2,1,6,8,20,0,1,0,24,20,3,1,0,0,0,0,0
0,-1,-1,0,10,12,2,1,0,20,20,2,0,0,0,0,0,0
1,-1,-1,4,6,14,0,0,0,24,14,3,1,0,0,0,0,0
0,-1,-1,-4,7,13,1,0,1,23,23,5,1,1,0,0,0,0
0,3,1,-8,4,10,1,0,0,19,12,3,0,0,0,0,0,1
1,2,1,6,10,19,0,0,0,22,19,3,1,0,0,0,0,0
0,1,1,-6,10,13,2,0,1,23,23,4,1,1,0,0,0,0
1,1,1,12,4,18,1,1,1,17,18,4,0,0,0,0,0,1
1,-3,-3,4.8,9,21,0,1,0,18,21,2,0,0,1,0,0,0
0,-1,-1,-2,6,15,0,0,0,17,15,3,0,0,0,0,0,0
0,0,0,-4,5,16,0,0,0,21,16,3,0,0,0,0,0,0
1,-2,-2,5,3,19,0,0,0,23,19,3,1,0,0,0,0,0
0,-5,-5,-3,10,19,0,0,0,20,19,2,0,0,0,0,0,0
1,-1,-1,2,2,11,1,0,0,22,13,4,1,0,0,0,0,1
0,-1,-1,-4,8,13,1,0,1,21,23,3,0,1,0,0,0,0
1,2,1,10,6,11,1,0,0,25,21,4,1,0,0,0,0,1
0,1,0,-6,8,19,0,0,0,20,19,3,0,0,0,0,0,0
1,1,0,5,10,13,1,0,0,23,18,3,1,0,0,0,0,0
1,2,1,5,3,16,0,0,0,25,16,4,1,0,0,0,0,0
1,-1,-1,7.2,10,21,0,1,0,17,21,2,0,0,1,0,0,0
0,-2,-1,-4,21,16,2,1,1,21,19,2,0,0,0,1,0,0
0,1,0,-8,4,11,1,0,0,19,18,3,0,0,0,0,0,1
0,0,0,-5,4,19,0,0,0,21,19,3,0,0,0,0,0,0
0,-2,-1,-5,10,17,0,0,0,20,17,2,0,0,0,0,0,0
0,-1,-1,-4,4,16,0,0,0,20,16,3,0,0,0,0,0,0
1,3,3,4,6,7,1,1,0,25,18,4,1,0,0,0,0,0
0,0,0,8,10,20,0,0,0,17,20,2,0,0,0,0,0,0
0,3,3,2,10,13,0,0,0,18,13,5,0,0,0,0,0,0
